Interest,Work_Style,Strengths,Communication_Skills,Leadership_Skills,Teamwork_Skills,Decision_Making,Aptitude_Level,Field_of_Study,Years_of_Experience,Adaptability,Time_Management,Problem_Solving,Emotional_Intelligence,Stress_Tolerance,Learning_Style,Certifications_Count,Technical_Skill_Level,Career_Goals,Location_Preference,Willing_to_Relocate,Highest_Degree,GPA,Internship_Experience,Remote_Work_Experience,Risk_Tolerance,Introvert_Extrovert_Score,Creativity_Score,Courses_Completed,Work_Hour_Flexibility,Workplace_Preference,Salary_Expectation,LinkedIn_Portfolio,GitHub_Repos,Public_Speaking_Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Predicted_Career_Field
Mechanical Engineer,Flexible,Analytical,medium,medium,high,low,low,Engineering,6,high,medium,medium,high,high,Reading/Writing,5,high,Achieve success as a Mechanical Engineer.,rural,no,diploma,3.88,no,no,low,high,high,7,shifts,onsite,64211,no,10,no,low,low,high,low,medium,Mechanical Engineer
Marketing Analyst,Independent,Strategic,low,high,high,low,low,Finance/Accounting,5,medium,low,low,low,high,Reading/Writing,2,high,Achieve success as a Marketing Analyst.,rural,yes,bachelor,3.84,no,no,high,high,high,0,freelance,onsite,61900,yes,7,no,high,high,low,high,high,Marketing Analyst
Occupational Therapist,Collaborative,Analytical,high,high,low,low,high,Health Sciences,6,medium,low,medium,low,medium,Reading/Writing,3,high,Achieve success as a Occupational Therapist.,flexible,yes,diploma,2.53,no,yes,low,high,medium,3,freelance,remote,84186,no,9,no,low,high,low,low,high,Occupational Therapist
HR Recruiter,Flexible,Strategic,high,high,medium,medium,high,Computer Science/IT,4,high,low,low,low,high,Visual,3,medium,Achieve success as a HR Recruiter.,rural,yes,master,2.54,yes,no,low,high,low,10,shifts,hybrid,65753,no,3,yes,medium,medium,high,high,high,HR Recruiter
Software Quality Assurance Tester,Collaborative,Analytical,high,medium,low,medium,low,Computer Science/IT,5,low,high,low,low,low,Visual,3,low,Achieve success as a Software Quality Assurance Tester.,rural,yes,diploma,2.54,no,no,low,high,high,5,9to5,onsite,76597,yes,8,yes,medium,high,low,medium,medium,Software Quality Assurance Tester
Marriage Counselor,Collaborative,Analytical,medium,medium,medium,high,high,Education/Social Sciences,4,low,medium,medium,high,low,Kinesthetic,4,low,Achieve success as a Marriage Counselor.,urban,yes,PhD,2.53,yes,no,low,low,high,4,9to5,onsite,84807,yes,1,yes,medium,medium,medium,high,high,Marriage Counselor
Police Officer,Collaborative,Creative,high,medium,medium,high,low,Other,1,low,low,low,low,high,Auditory,0,high,Achieve success as a Police Officer.,rural,yes,PhD,3.82,yes,yes,medium,medium,medium,0,freelance,onsite,63333,yes,6,no,high,low,low,medium,low,Police Officer
Advertising Executive,Flexible,Creative,high,high,medium,high,high,Other,8,high,high,medium,high,low,Visual,4,medium,Achieve success as a Advertising Executive.,flexible,yes,master,2.41,no,yes,medium,high,medium,9,shifts,remote,74111,no,3,no,high,medium,low,low,low,Advertising Executive
Software Quality Assurance Tester,Collaborative,Strategic,medium,low,medium,high,low,Computer Science/IT,7,high,high,high,low,low,Reading/Writing,0,high,Achieve success as a Software Quality Assurance Tester.,rural,no,bachelor,2.32,yes,yes,high,low,low,1,freelance,hybrid,79336,yes,7,yes,low,high,low,high,medium,Software Quality Assurance Tester
Social Worker,Collaborative,Analytical,high,low,high,high,low,Education/Social Sciences,3,low,high,low,high,low,Auditory,1,high,Achieve success as a Social Worker.,urban,no,master,2.26,no,no,medium,low,high,5,freelance,onsite,66042,no,4,no,low,medium,high,low,low,Social Worker
Biomedical Researcher,Flexible,Strategic,low,high,low,low,high,Health Sciences,9,high,high,medium,high,low,Reading/Writing,5,high,Achieve success as a Biomedical Researcher.,rural,no,PhD,2.15,yes,yes,low,medium,medium,10,freelance,onsite,98279,no,2,yes,high,low,low,high,high,Biomedical Researcher
Data Analyst,Independent,Strategic,high,high,low,high,medium,Finance/Accounting,0,high,low,medium,high,high,Kinesthetic,0,medium,Achieve success as a Data Analyst.,flexible,yes,PhD,3.71,yes,yes,medium,low,medium,8,9to5,onsite,61235,no,8,no,medium,high,high,medium,high,Data Analyst
Social Media Manager,Collaborative,Strategic,high,medium,low,medium,low,Other,4,medium,medium,high,medium,high,Reading/Writing,1,high,Achieve success as a Social Media Manager.,urban,yes,master,2.45,yes,yes,medium,medium,high,4,freelance,onsite,85579,no,8,yes,medium,medium,low,high,low,Social Media Manager
Environmental Scientist,Independent,Strategic,high,low,medium,medium,medium,Science,1,medium,medium,low,high,low,Kinesthetic,5,medium,Achieve success as a Environmental Scientist.,rural,yes,bachelor,3.97,no,no,low,high,high,0,9to5,remote,89247,yes,5,yes,low,high,medium,high,low,Environmental Scientist
Human Rights Lawyer,Flexible,Creative,low,medium,medium,low,low,Other,6,medium,low,high,high,medium,Auditory,0,high,Achieve success as a Human Rights Lawyer.,urban,yes,master,3.13,no,no,medium,high,low,5,9to5,hybrid,66980,no,5,no,low,high,low,high,low,Human Rights Lawyer
Software Developer,Collaborative,Analytical,low,high,high,medium,medium,Computer Science/IT,8,medium,high,medium,high,high,Auditory,3,low,Achieve success as a Software Developer.,urban,no,PhD,2.98,no,no,high,high,low,2,shifts,remote,79686,yes,2,no,high,medium,high,medium,low,Software Developer
Police Officer,Independent,Creative,low,medium,high,low,high,Other,1,medium,high,high,high,low,Kinesthetic,5,low,Achieve success as a Police Officer.,urban,no,master,3.4,yes,no,low,low,medium,5,9to5,onsite,86593,yes,6,yes,medium,high,medium,medium,medium,Police Officer
Insurance Underwriter,Flexible,Strategic,low,high,medium,high,medium,Computer Science/IT,7,low,low,high,low,medium,Auditory,0,high,Achieve success as a Insurance Underwriter.,flexible,no,bachelor,2.18,no,no,medium,medium,low,6,freelance,remote,70927,no,0,yes,low,medium,high,medium,low,Insurance Underwriter
Nurse,Flexible,Strategic,medium,high,high,medium,high,Health Sciences,8,high,medium,medium,low,medium,Visual,2,low,Achieve success as a Nurse.,rural,yes,master,3.9,no,yes,low,medium,medium,10,shifts,hybrid,75386,yes,5,yes,low,medium,low,medium,low,Nurse
Financial Planner,Flexible,Strategic,medium,medium,medium,medium,high,Finance/Accounting,0,low,high,high,high,high,Reading/Writing,3,medium,Achieve success as a Financial Planner.,flexible,yes,diploma,2.75,yes,yes,low,high,medium,10,shifts,onsite,63471,no,3,no,low,high,low,high,high,Financial Planner
Graphic Designer,Flexible,Analytical,high,low,low,high,low,Engineering,8,low,high,medium,high,medium,Reading/Writing,1,high,Achieve success as a Graphic Designer.,flexible,yes,bachelor,3.28,no,no,low,low,low,0,freelance,remote,85753,no,7,no,low,high,high,medium,medium,Graphic Designer
Robotics Engineer,Independent,Analytical,medium,high,low,high,medium,Engineering,8,high,low,medium,medium,medium,Kinesthetic,3,high,Achieve success as a Robotics Engineer.,urban,no,master,2.35,yes,yes,medium,low,low,7,freelance,onsite,82369,yes,5,yes,medium,low,low,high,low,Robotics Engineer
Construction Engineer,Independent,Strategic,high,high,low,high,medium,Engineering,1,high,medium,medium,medium,high,Kinesthetic,4,low,Achieve success as a Construction Engineer.,flexible,yes,bachelor,3.77,no,no,low,high,medium,4,freelance,remote,89354,yes,8,no,high,medium,high,high,medium,Construction Engineer
Electronics Design Engineer,Flexible,Strategic,low,medium,high,high,medium,Engineering,6,high,medium,medium,low,high,Auditory,2,low,Achieve success as a Electronics Design Engineer.,urban,yes,bachelor,2.41,no,no,high,low,medium,1,freelance,remote,67564,yes,4,yes,medium,high,high,medium,high,Electronics Design Engineer
Astronomer,Independent,Strategic,medium,medium,medium,high,low,Science,2,low,medium,medium,medium,low,Kinesthetic,2,low,Achieve success as a Astronomer.,rural,no,diploma,2.3,no,yes,low,low,medium,1,9to5,remote,92468,yes,0,no,low,medium,high,low,high,Astronomer
Social Worker,Collaborative,Strategic,medium,low,medium,medium,high,Education/Social Sciences,0,medium,medium,high,medium,medium,Auditory,5,high,Achieve success as a Social Worker.,urban,no,master,3.75,no,yes,low,high,medium,7,freelance,hybrid,66474,no,2,no,medium,low,high,low,medium,Social Worker
Product Manager,Independent,Creative,high,high,low,medium,medium,Other,0,medium,medium,medium,high,low,Kinesthetic,2,medium,Achieve success as a Product Manager.,rural,yes,PhD,3.27,no,yes,medium,low,low,0,9to5,onsite,60292,yes,6,yes,low,low,low,high,low,Product Manager
Forensic Psychologist,Independent,Strategic,medium,low,low,medium,low,Other,3,medium,medium,medium,low,medium,Kinesthetic,5,low,Achieve success as a Forensic Psychologist.,rural,no,PhD,2.53,yes,yes,high,high,medium,10,freelance,remote,76804,yes,0,yes,high,high,medium,medium,medium,Forensic Psychologist
Fashion Stylist,Flexible,Creative,high,high,medium,low,low,Other,7,high,low,high,medium,medium,Reading/Writing,1,medium,Achieve success as a Fashion Stylist.,urban,yes,master,3,no,yes,medium,low,medium,6,shifts,remote,66311,yes,0,yes,high,low,high,medium,high,Fashion Stylist
Marine Biologist,Independent,Strategic,medium,low,medium,medium,high,Science,7,high,high,low,medium,medium,Auditory,5,low,Achieve success as a Marine Biologist.,urban,no,diploma,3.73,yes,yes,medium,low,medium,10,9to5,remote,92504,no,1,yes,low,high,high,low,medium,Marine Biologist
Video Game Tester,Collaborative,Strategic,low,medium,medium,low,medium,Other,3,low,low,high,medium,low,Reading/Writing,2,low,Achieve success as a Video Game Tester.,rural,no,diploma,3.1,no,no,medium,medium,low,6,freelance,hybrid,67749,no,5,no,high,low,high,low,medium,Video Game Tester
Accountant,Independent,Analytical,high,high,high,high,low,Finance/Accounting,1,high,medium,low,high,medium,Visual,3,medium,Achieve success as a Accountant.,flexible,no,diploma,2.27,no,no,medium,low,low,8,shifts,onsite,87142,no,8,no,high,high,medium,medium,low,Accountant
Financial Auditor,Independent,Strategic,low,medium,medium,high,high,Computer Science/IT,10,low,medium,medium,medium,high,Kinesthetic,4,high,Achieve success as a Financial Auditor.,flexible,no,diploma,2.33,no,yes,high,low,high,4,9to5,remote,64951,yes,9,no,high,medium,low,medium,low,Financial Auditor
Market Research Analyst,Flexible,Analytical,medium,high,low,medium,high,Finance/Accounting,6,high,high,low,high,low,Visual,2,low,Achieve success as a Market Research Analyst.,flexible,yes,bachelor,3.93,no,no,high,low,high,5,freelance,hybrid,79949,yes,5,no,high,low,high,high,high,Market Research Analyst
Elementary School Teacher,Flexible,Strategic,medium,medium,high,high,medium,Education/Social Sciences,7,high,medium,high,high,high,Auditory,1,medium,Achieve success as a Elementary School Teacher.,rural,no,PhD,2.4,no,yes,high,high,high,10,9to5,hybrid,62589,no,2,yes,high,high,high,high,low,Elementary School Teacher
Air Traffic Controller,Independent,Creative,low,low,low,low,high,Aviation,6,low,medium,medium,medium,low,Reading/Writing,5,medium,Achieve success as a Air Traffic Controller.,flexible,no,master,2.28,no,no,medium,medium,medium,6,shifts,hybrid,78551,no,8,yes,high,low,low,medium,low,Air Traffic Controller
Diplomat,Flexible,Strategic,medium,low,low,medium,medium,Other,4,medium,low,medium,medium,high,Kinesthetic,3,high,Achieve success as a Diplomat.,flexible,no,master,3.81,no,no,low,low,medium,7,9to5,hybrid,81512,no,9,yes,medium,high,medium,medium,low,Diplomat
Biologist,Flexible,Strategic,medium,low,low,high,low,Science,9,high,high,medium,low,low,Auditory,5,high,Achieve success as a Biologist.,rural,yes,diploma,2.48,yes,no,low,medium,high,7,shifts,hybrid,72073,yes,10,yes,medium,low,medium,low,low,Biologist
Forensic Psychologist,Independent,Creative,medium,high,medium,medium,low,Other,5,medium,high,medium,low,medium,Kinesthetic,0,high,Achieve success as a Forensic Psychologist.,rural,yes,diploma,2.9,yes,no,medium,low,low,3,freelance,hybrid,74888,yes,10,no,high,medium,high,high,medium,Forensic Psychologist
Biotechnologist,Flexible,Creative,medium,low,low,high,medium,Computer Science/IT,3,medium,low,high,low,low,Auditory,5,medium,Achieve success as a Biotechnologist.,flexible,yes,diploma,2.82,yes,no,medium,medium,low,7,shifts,remote,61986,no,10,no,high,high,low,high,low,Biotechnologist
Tax Accountant,Flexible,Strategic,low,medium,medium,low,low,Finance/Accounting,6,high,high,low,low,medium,Visual,2,low,Achieve success as a Tax Accountant.,flexible,no,PhD,2.37,no,no,medium,high,high,7,freelance,hybrid,83096,yes,5,no,high,medium,medium,low,high,Tax Accountant
Teacher,Collaborative,Analytical,high,low,high,low,high,Education/Social Sciences,0,low,low,low,medium,high,Auditory,0,low,Achieve success as a Teacher.,flexible,yes,diploma,3.28,no,no,medium,medium,low,10,shifts,onsite,89609,yes,10,yes,medium,medium,medium,medium,low,Teacher
Astronomer,Collaborative,Creative,low,high,high,medium,high,Science,5,medium,medium,high,medium,high,Auditory,2,medium,Achieve success as a Astronomer.,rural,no,master,3.38,yes,yes,high,medium,high,8,9to5,remote,67571,yes,8,no,medium,medium,high,high,high,Astronomer
Financial Auditor,Independent,Analytical,medium,low,medium,low,high,Computer Science/IT,7,medium,low,medium,low,high,Reading/Writing,2,high,Achieve success as a Financial Auditor.,urban,no,bachelor,3.77,yes,yes,low,high,low,6,shifts,hybrid,64623,no,7,yes,medium,high,low,low,medium,Financial Auditor
Advertising Executive,Flexible,Strategic,medium,low,low,high,high,Other,8,high,medium,low,low,high,Visual,2,low,Achieve success as a Advertising Executive.,flexible,yes,diploma,2.56,yes,yes,low,medium,high,1,freelance,hybrid,78837,no,7,yes,high,medium,medium,low,low,Advertising Executive
Event Photographer,Collaborative,Creative,medium,high,high,high,medium,Arts/Hospitality,6,low,high,high,high,medium,Reading/Writing,2,medium,Achieve success as a Event Photographer.,flexible,yes,diploma,2.29,yes,yes,high,low,low,7,shifts,onsite,79731,no,6,yes,high,high,medium,low,medium,Event Photographer
Human Rights Lawyer,Flexible,Analytical,low,high,low,medium,high,Other,0,medium,medium,low,low,medium,Reading/Writing,4,medium,Achieve success as a Human Rights Lawyer.,rural,yes,PhD,3.24,yes,no,high,low,low,8,shifts,remote,75801,yes,3,yes,high,low,medium,low,high,Human Rights Lawyer
Dental Hygienist,Collaborative,Strategic,low,low,low,high,medium,Other,10,medium,medium,low,low,medium,Visual,4,low,Achieve success as a Dental Hygienist.,urban,no,master,3.86,yes,yes,medium,high,medium,8,freelance,onsite,62883,yes,1,yes,medium,low,low,medium,high,Dental Hygienist
Aerospace Engineer,Collaborative,Creative,low,high,high,high,high,Engineering,8,low,low,low,high,high,Reading/Writing,2,low,Achieve success as a Aerospace Engineer.,flexible,no,master,2,yes,yes,low,medium,low,7,freelance,remote,60289,yes,7,no,high,high,high,medium,medium,Aerospace Engineer
Biomedical Researcher,Collaborative,Analytical,high,medium,low,high,medium,Health Sciences,9,medium,medium,medium,high,low,Kinesthetic,0,medium,Achieve success as a Biomedical Researcher.,urban,no,diploma,3.15,no,yes,high,medium,low,6,shifts,remote,79653,no,0,no,medium,high,medium,high,high,Biomedical Researcher
Chef,Collaborative,Creative,low,high,low,high,low,Arts/Hospitality,6,high,low,medium,medium,low,Visual,2,medium,Achieve success as a Chef.,urban,no,bachelor,3.21,yes,no,medium,medium,high,6,shifts,onsite,97265,no,10,yes,low,high,medium,medium,high,Chef
Financial Advisor,Flexible,Analytical,low,medium,medium,high,high,Finance/Accounting,6,medium,medium,low,medium,low,Visual,0,medium,Achieve success as a Financial Advisor.,flexible,no,master,3.62,yes,no,medium,low,low,6,shifts,onsite,88706,yes,3,no,low,low,low,high,high,Financial Advisor
Event Planner,Flexible,Analytical,high,low,medium,low,medium,Finance/Accounting,8,medium,medium,high,low,high,Kinesthetic,1,medium,Achieve success as a Event Planner.,urban,no,master,3.35,no,no,high,high,high,10,freelance,onsite,77907,no,0,no,low,high,high,medium,medium,Event Planner
Software Quality Assurance Tester,Flexible,Analytical,high,medium,high,high,medium,Computer Science/IT,9,high,high,medium,medium,low,Visual,0,medium,Achieve success as a Software Quality Assurance Tester.,urban,no,PhD,3.79,yes,no,low,high,medium,0,shifts,onsite,80629,no,5,yes,low,high,low,low,high,Software Quality Assurance Tester
Genetic Counselor,Independent,Analytical,medium,high,low,medium,high,Education/Social Sciences,3,medium,high,low,high,medium,Auditory,5,medium,Achieve success as a Genetic Counselor.,flexible,yes,diploma,2.95,yes,no,medium,low,high,7,9to5,hybrid,93493,no,6,yes,high,high,low,high,low,Genetic Counselor
Wildlife Conservationist,Independent,Analytical,medium,low,medium,high,medium,Other,5,high,low,low,medium,high,Reading/Writing,0,high,Achieve success as a Wildlife Conservationist.,urban,yes,bachelor,2.73,no,yes,low,high,high,10,freelance,hybrid,62890,no,0,yes,high,medium,low,medium,medium,Wildlife Conservationist
Forensic Scientist,Collaborative,Creative,medium,low,medium,high,medium,Science,6,high,high,low,medium,medium,Kinesthetic,0,high,Achieve success as a Forensic Scientist.,urban,no,PhD,3.43,no,no,high,high,high,1,freelance,hybrid,62716,no,5,no,medium,medium,medium,high,low,Forensic Scientist
Customs and Border Protection Officer,Flexible,Creative,high,high,medium,medium,medium,Other,1,low,high,low,high,high,Kinesthetic,4,high,Achieve success as a Customs and Border Protection Officer.,urban,no,diploma,3.43,no,yes,high,high,high,7,shifts,hybrid,97147,yes,6,no,high,low,medium,high,medium,Customs and Border Protection Officer
Product Manager,Flexible,Creative,high,medium,low,low,low,Other,3,low,low,low,low,high,Visual,0,low,Achieve success as a Product Manager.,urban,yes,master,2.91,yes,no,low,high,medium,5,shifts,onsite,61917,no,2,no,medium,high,low,medium,low,Product Manager
